name,description,category,url
Virginia Tech Sports Medicine Club,"VTSMC aims to further students knowledge of Sports Medicine through case studies, guest speakers, and hands-on in-services.",Enthusiasts & Special Interests,https://hokiesports.com/sports/2018/5/1/sports-medicine-student-aide-program-faqs.aspx?id=229
Virginia Tech Table Tennis Club,"The Table Tennis Club at Virginia Tech aims to promote the sport of table tennis for students, faculty and community members of all levels. The club is a place for casual practice as well as advanced training for NCTTA Competitions!",Recreation,https://discord.gg/USE5YfTCGB
Virginia Tech Television,Interested in pursuing a career in broadcasting? Want to build reporting or anchoring experience for your resume? You've come to the right place — Virginia Tech's premier television station.,Arts & Entertainment,http://www.vttv33.com
Virginia Tech Triathlon Club,"We provide support for student athletes with a desire to participate in the sport of triathlon. As a member of the Mid Atlantic Collegiate Triathlon Conference, we compete at both the regional and national levels in the fall and spring.",Recreation,http://virginiatechtriathlon.org
Virginia Tech Women's Club Basketball,The Virginia Tech Women's Club Basketball was formed in the fall of 2000. Tryouts are held each year for new team members who want to play basketball at a competitive intercollegiate level.,Recreation,https://vtwomensclubbasketball.weebly.com/
Virginia Tech Women's Club Lacrosse,"Gives women an opportunity to participate in a non-varsity sport in which they can be part of a team and compete extramurally. It may interest those who want to join a competitive team, but are not looking for the stronger commitments of a varsity team.",Recreation,https://gobblerconnect.vt.edu/vtwclax/
Virginia Tech Women's Club Soccer,Providing all female students the opportunity to play competitive soccer,Recreation,http://wsoccervt.weebly.com
Virginia Tech Women's Club Softball,Virginia Tech Women's Softball Club competes against other schools both regionally and nationally in women's fast-pitch softball. The club is looking for new members who want to be involved. It is open to all players seeking competition and fun.,Recreation,http://vtclubsoftball.weebly.com/
Virginia Tech Women's Club Tennis,The purpose of this organization is to provide a relaxed and competitive atmosphere for tennis players looking to continue playing competitively after high school. (Tryouts will be held every Fall and Spring),Recreation,https://vtclubtennis.weebly.com/
Virginia Tech Women's Club Volleyball,"Virginia Tech Women's Club Volleyball consists of two competitive teams, the Maroon (A) team and the Orange (B) team. The club competes year round across the nation under the National Collegiate Volleyball Association.",Recreation,https://vtclubvolleyball.weebly.com/
Virginia Tech Women's Club Water Polo,"The women's club water polo team competes in both the fall and spring semesters. Our official competition season is the Spring, and in the Fall we participate in invitationals to practice and prepare. We compete in the Atlantic division of the CWPA.",Recreation,http://vtwomenswaterpolo.weebly.com/
Virginia Tech Women's Rugby Football Club,"Since 1992, Virginia Tech Women’s Rugby Football Club has been comprised of driven, hardworking, and welcoming students. Our goal is to provide a strong community at Virginia Tech and grow the sport of rugby. There is no experience necessary to play with our club. We accept athletes of all…",Recreation,https://gobblerconnect.vt.edu/vtwrfc/
Virginia Veterinary Medical Association Student Chapter,We serve as the local branch of the VVMA for vet students. We offer early access to our state level professional community. We aim to serve as liaison between VVMA and the student body and offer various opportunities,Advocacy & Awareness,https://vvma.org
Virodh,Virodh is a competitive Bollywood fusion dance team that aims to promote culture and passion for dance through high-energy choreography and a mix of various different styles in the hopes of showcasing timeless ideas.,Cultural & International,https://gobblerconnect.vt.edu/virodh/
VMCVM Cardiology Club,To educate students about and foster interest in veterinary cardiology.,Academic,https://gobblerconnect.vt.edu/vetmed/
VMCVM Class of 2027,We are the Class of 2027 at Virginia-Maryland College of Veterinary Medicine,Academic,https://gobblerconnect.vt.edu/vmcvm2027/
VMCVM Class of 2028,This organization is exclusively for students in the Class of 2028 at Virginia-Maryland College of Veterinary Medicine. Our mission is to support and encourage one another as we pursue our passion for making a difference in veterinary medicine.,Other,https://gobblerconnect.vt.edu/vmcvmclassof2028/
VMCVM Class of 2029,"The VMCVM Class of 2029 student org fosters an inclusive, supportive community that promotes academic excellence, professional growth, wellness, and service while strengthening communication and developing compassionate, ethical veterinary leadership.",Academic,https://gobblerconnect.vt.edu/vmcvmco2029/
VMCVM Veterinary Animal Behavior Club,"Our mission is to enable additional educational opportunities for veterinary students to learn about animal behavior through guest speakers, wet labs, etc.",Academic,https://gobblerconnect.vt.edu/avsab/
Volunteers Around the World (Dental),"VAW Global Health Alliances sends students abroad to South and Central America during winter/summer breaks to assist in operating a free Dental Clinic. For 14 days, students will experience cultural immersion while giving back to communities in need.",Academic,https://gobblerconnect.vt.edu/vawghadentalchapter/
"VPI Cave Club, Student Grotto of the National Speleological Society",The purpose of this club shall be to promote interest in and to advance the science of speleology; to promote conservation of caves and safety in their exploration; and to encourage fellowship among those interested in caving.,Enthusiasts & Special Interests,http://vpi.caves.org
VTCC HERO,VTCC HERO (Helping Educate Regarding Orientation) is the LGBTQ+ organization in the Virginia Tech Corps of Cadets.,Advocacy & Awareness,https://gobblerconnect.vt.edu/vtcchero/
vtONE,"To promote unity in the body of Christ at Virginia Tech and empower each ministry by facilitating inter-ministry prayer, worship, and outreach for the advancement of the Kingdom of God.",Religious,https://gobblerconnect.vt.edu/vtone/
W.B. Alwood Entomological Society,This organization is made up of the graduate students in the Department of Entomology at Virginia Tech. We work together to promote our department and the study of insects within the university and the community.,Academic,https://gobblerconnect.vt.edu/wbalwoodentsoc/
Warhammer 40k Club,We are a club of people that love playing and hobby around Warhammer. We are a community here to share the hobby to all people. We run out of a discord so please reach out to any officers listed about joining the discord.,Arts & Entertainment,https://gobblerconnect.vt.edu/warhammer40k/
We Suck at Art Club,"We are a no-pressure art club created for anyone of any skill-level to find stress relief, socialize and offer a creative outlet for maintaining mental health.",Arts & Entertainment,https://gobblerconnect.vt.edu/wsac/
We Suck At Cooking Club,Are you interested in learning how to cook? Want to broaden your cooking horizons? Or never touched cooking equipment before? Look no further than the We Suck At Cooking Club. The WS@C is an organization for all chefs (beginners or experienced). A casual cooking club for chefs of all levels of…,Arts & Entertainment,https://linktr.ee/vt_wesuckatcooking
